"","time","vel","LINK"
"5897",2016-09-20 05:00:00,8.28571428571429,"2270030700"
"58960",2016-09-20 05:10:00,20.72,"2270030700"
"109953",2016-09-20 05:20:00,12.8888888888889,"2270030700"
"85521",2016-09-20 05:30:00,22,"2270030700"
"9765",2016-09-20 05:40:00,17.8780487804878,"2270030700"
"128640",2016-09-20 05:50:00,14.3673469387755,"2270030700"
"34759",2016-09-20 06:00:00,13.5438596491228,"2270030700"
"153625",2016-09-20 06:10:00,11.9166666666667,"2270030700"
"28468",2016-09-20 06:20:00,13.8,"2270030700"
"6297",2016-09-20 06:30:00,10.7,"2270030700"
"41199",2016-09-20 06:40:00,16.7424242424242,"2270030700"
"34838",2016-09-20 06:50:00,12.8717948717949,"2270030700"
"86080",2016-09-20 07:00:00,12.0416666666667,"2270030700"
"10339",2016-09-20 07:10:00,7.90196078431373,"2270030700"
"59590",2016-09-20 07:20:00,6.67164179104478,"2270030700"
"86180",2016-09-20 07:30:00,13.5272727272727,"2270030700"
"10458",2016-09-20 07:40:00,6.53,"2270030700"
"129294",2016-09-20 07:50:00,9.45070422535211,"2270030700"
"16837",2016-09-20 08:00:00,11.8620689655172,"2270030700"
"16870",2016-09-20 08:10:00,12.2794117647059,"2270030700"
"29182",2016-09-20 08:20:00,6.43478260869565,"2270030700"
"53571",2016-09-20 08:30:00,4.79310344827586,"2270030700"
"104199",2016-09-20 08:40:00,8.85185185185185,"2270030700"
"72653",2016-09-20 08:50:00,10.0941176470588,"2270030700"
"35640",2016-09-20 09:00:00,5.74074074074074,"2270030700"
"117811",2016-09-20 09:10:00,8.65384615384615,"2270030700"
"66536",2016-09-20 09:20:00,7.69090909090909,"2270030700"
"11184",2016-09-20 09:30:00,9.6,"2270030700"
"86986",2016-09-20 09:40:00,12.0645161290323,"2270030700"
"47978",2016-09-20 09:50:00,16.5087719298246,"2270030700"
"23571",2016-09-20 10:00:00,15.7708333333333,"2270030700"
"92774",2016-09-20 10:10:00,8.26666666666667,"2270030700"
"79332",2016-09-20 10:20:00,12.8360655737705,"2270030700"
"17615",2016-09-20 10:30:00,12.6382978723404,"2270030700"
"104931",2016-09-20 10:40:00,18.4347826086957,"2270030700"
"92951",2016-09-20 10:50:00,10.5,"2270030700"
"118481",2016-09-20 11:00:00,9.05555555555556,"2270030700"
"36394",2016-09-20 11:10:00,6.78217821782178,"2270030700"
"36456",2016-09-20 11:20:00,5.66,"2270030700"
"11891",2016-09-20 11:30:00,14.5806451612903,"2270030700"
"7548",2016-09-20 11:40:00,6.34545454545455,"2270030700"
"79894",2016-09-20 11:50:00,6.66666666666667,"2270030700"
"87697",2016-09-20 12:00:00,12.2528735632184,"2270030700"
"11954",2016-09-20 12:10:00,15.5272727272727,"2270030700"
"24278",2016-09-20 12:20:00,13.4868421052632,"2270030700"
"54947",2016-09-20 12:30:00,7.09210526315789,"2270030700"
"18288",2016-09-20 12:40:00,8.70833333333333,"2270030700"
"93576",2016-09-20 12:50:00,14.6031746031746,"2270030700"
"2354",2016-09-20 13:00:00,10.7666666666667,"2270030700"
"43487",2016-09-20 13:10:00,10.8032786885246,"2270030700"
"37194",2016-09-20 13:20:00,12.8571428571429,"2270030700"
"126237",2016-09-20 13:30:00,7.97849462365591,"2270030700"
"119299",2016-09-20 13:40:00,6.96363636363636,"2270030700"
"12601",2016-09-20 13:50:00,4.18965517241379,"2270030700"
"112751",2016-09-20 14:00:00,14.4583333333333,"2270030700"
"49295",2016-09-20 14:10:00,13.8571428571429,"2270030700"
"12682",2016-09-20 14:20:00,19.9047619047619,"2270030700"
"99714",2016-09-20 14:30:00,9.96825396825397,"2270030700"
"2974",2016-09-20 14:40:00,10.5802469135802,"2270030700"
"31167",2016-09-20 14:50:00,9.29824561403509,"2270030700"
"37821",2016-09-20 15:00:00,11.3725490196078,"2270030700"
"44161",2016-09-20 15:10:00,18.9302325581395,"2270030700"
"119921",2016-09-20 15:20:00,13.8541666666667,"2270030700"
"8468",2016-09-20 15:30:00,5.32692307692308,"2270030700"
"119974",2016-09-20 15:40:00,15.5357142857143,"2270030700"
"68699",2016-09-20 15:50:00,10.4285714285714,"2270030700"
"25567",2016-09-20 16:00:00,9.83333333333333,"2270030700"
"89171",2016-09-20 16:10:00,20.8260869565217,"2270030700"
"50105",2016-09-20 16:20:00,15.2884615384615,"2270030700"
"13395",2016-09-20 16:30:00,10.1296296296296,"2270030700"
"56248",2016-09-20 16:40:00,8,"2270030700"
"144599",2016-09-20 16:50:00,11.3863636363636,"2270030700"
"44812",2016-09-20 17:00:00,8.09302325581395,"2270030700"
"31911",2016-09-20 17:10:00,10.68,"2270030700"
"94789",2016-09-20 17:20:00,14.0408163265306,"2270030700"
"3737",2016-09-20 17:30:00,5.64864864864865,"2270030700"
"44905",2016-09-20 17:40:00,18.1904761904762,"2270030700"
"75541",2016-09-20 17:50:00,14.472972972973,"2270030700"
"38799",2016-09-20 18:00:00,14.4130434782609,"2270030700"
"26401",2016-09-20 18:10:00,4.02040816326531,"2270030700"
"69447",2016-09-20 18:20:00,9.29230769230769,"2270030700"
"89932",2016-09-20 18:30:00,8.23611111111111,"2270030700"
"14222",2016-09-20 18:40:00,11.4920634920635,"2270030700"
"26560",2016-09-20 18:50:00,3.17391304347826,"2270030700"
"101108",2016-09-20 19:00:00,10.5416666666667,"2270030700"
"57159",2016-09-20 19:10:00,12.5,"2270030700"
"20389",2016-09-20 19:20:00,10.9411764705882,"2270030700"
"45585",2016-09-20 19:30:00,9.421875,"2270030700"
"76226",2016-09-20 19:40:00,16.4411764705882,"2270030700"
"127859",2016-09-20 19:50:00,10.9302325581395,"2270030700"
"39550",2016-09-20 20:00:00,9.5,"2270030700"
"108074",2016-09-20 20:10:00,9.76923076923077,"2270030700"
"51505",2016-09-20 20:20:00,5,"2270030700"
"63721",2016-09-20 20:30:00,12.1044776119403,"2270030700"
"101716",2016-09-20 20:40:00,11.0862068965517,"2270030700"
"14972",2016-09-20 20:50:00,10.0823529411765,"2270030700"
"21001",2016-09-20 21:00:00,13.7254901960784,"2270030700"
"95867",2016-09-20 21:10:00,14.2619047619048,"2270030700"
"21062",2016-09-20 21:20:00,13.8108108108108,"2270030700"
"95960",2016-09-20 21:30:00,14.7321428571429,"2270030700"
"5147",2016-09-20 21:40:00,10.4,"2270030700"
"77065",2016-09-20 21:50:00,11.448275862069,"2270030700"
"70725",2016-09-20 22:00:00,3.08333333333333,"2270030700"
"122219",2016-09-20 22:10:00,10.6730769230769,"2270030700"
"64351",2016-09-20 22:20:00,9.40625,"2270030700"
"27873",2016-09-20 22:30:00,14.2127659574468,"2270030700"
"146700",2016-09-20 22:40:00,5.88679245283019,"2270030700"
"15673",2016-09-20 22:50:00,11.5405405405405,"2270030700"
"134280",2016-09-20 23:00:00,18.9375,"2270030700"
"58606",2016-09-20 23:10:00,14.0571428571429,"2270030700"
"5775",2016-09-20 23:20:00,7.3,"2270030700"
"77663",2016-09-20 23:30:00,19.5,"2270030700"
"58785",2016-09-20 23:40:00,13.8636363636364,"2270030700"
"122847",2016-09-20 23:50:00,8.97297297297297,"2270030700"
"116457",2016-09-20 05:00:00,3,"2270051300"
"65182",2016-09-20 05:10:00,0,"2270051300"
"141004",2016-09-20 05:20:00,6.83333333333333,"2270051300"
"110004",2016-09-20 05:30:00,5.42857142857143,"2270051300"
"46506",2016-09-20 05:40:00,17.6818181818182,"2270051300"
"123929",2016-09-20 05:50:00,12.3157894736842,"2270051300"
"96954",2016-09-20 06:00:00,34.7777777777778,"2270051300"
"147279",2016-09-20 06:10:00,4.13636363636364,"2270051300"
"153694",2016-09-20 06:20:00,16,"2270051300"
"91996",2016-09-20 06:30:00,8.63333333333333,"2270051300"
"125",2016-09-20 06:40:00,9.22727272727273,"2270051300"
"110504",2016-09-20 06:50:00,17.4666666666667,"2270051300"
"103576",2016-09-20 07:00:00,7.30769230769231,"2270051300"
"22726",2016-09-20 07:10:00,10.3055555555556,"2270051300"
"97445",2016-09-20 07:20:00,8.33333333333333,"2270051300"
"141651",2016-09-20 07:30:00,4.78378378378378,"2270051300"
"78432",2016-09-20 07:40:00,14.3571428571429,"2270051300"
"10526",2016-09-20 07:50:00,5.65625,"2270051300"
"53390",2016-09-20 08:00:00,12.5277777777778,"2270051300"
"78597",2016-09-20 08:10:00,32.2916666666667,"2270051300"
