"","time","vel","LINK"
"175967",2016-09-22 05:00:00,4.7,"1240002700"
"16300",2016-09-22 05:10:00,21.6176470588235,"1240002700"
"169530",2016-09-22 05:20:00,19.1875,"1240002700"
"156756",2016-09-22 05:30:00,20.5757575757576,"1240002700"
"124916",2016-09-22 05:40:00,11.2857142857143,"1240002700"
"111291",2016-09-22 05:50:00,27.6,"1240002700"
"16613",2016-09-22 06:00:00,32.1428571428571,"1240002700"
"116989",2016-09-22 06:10:00,29.64,"1240002700"
"40934",2016-09-22 06:20:00,6.43103448275862,"1240002700"
"105498",2016-09-22 06:30:00,28.1428571428571,"1240002700"
"99393",2016-09-22 06:40:00,14.4347826086957,"1240002700"
"4761",2016-09-22 06:50:00,12.8666666666667,"1240002700"
"35015",2016-09-22 07:00:00,23.3793103448276,"1240002700"
"90485",2016-09-22 07:10:00,24.8571428571429,"1240002700"
"41302",2016-09-22 07:20:00,23.5,"1240002700"
"170321",2016-09-22 07:30:00,23.7272727272727,"1240002700"
"28576",2016-09-22 07:40:00,8.86666666666667,"1240002700"
"99780",2016-09-22 07:50:00,19.7777777777778,"1240002700"
"1233",2016-09-22 08:00:00,37.7333333333333,"1240002700"
"182458",2016-09-22 08:10:00,27.8333333333333,"1240002700"
"112002",2016-09-22 08:20:00,20.2857142857143,"1240002700"
"67257",2016-09-22 08:30:00,32.5833333333333,"1240002700"
"123692",2016-09-22 08:40:00,13,"1240002700"
"96659",2016-09-22 08:50:00,15.2857142857143,"1240002700"
"100210",2016-09-22 09:00:00,16.5,"1240002700"
"35786",2016-09-22 09:10:00,16.7083333333333,"1240002700"
"81117",2016-09-22 09:20:00,18.2222222222222,"1240002700"
"67563",2016-09-22 09:30:00,24.5714285714286,"1240002700"
"118095",2016-09-22 09:40:00,15.8,"1240002700"
"159862",2016-09-22 09:50:00,4.45205479452055,"1240002700"
"100547",2016-09-22 10:00:00,40.6875,"1240002700"
"36089",2016-09-22 10:10:00,14.3953488372093,"1240002700"
"81841",2016-09-22 10:20:00,19.7906976744186,"1240002700"
"67887",2016-09-22 10:30:00,14.48,"1240002700"
