"","time","vel","LINK"
"5276",2016-09-04 05:00:00,15.7777777777778,"2270009702"
"36538",2016-09-04 05:10:00,12.1428571428571,"2270009702"
"44314",2016-09-04 05:20:00,34,"2270009702"
"104007",2016-09-04 05:30:00,18.8,"2270009702"
"81726",2016-09-04 05:40:00,30,"2270009702"
"30734",2016-09-04 05:50:00,29.6,"2270009702"
"110150",2016-09-04 06:00:00,35.3333333333333,"2270009702"
"75603",2016-09-04 06:10:00,29.3125,"2270009702"
"42639",2016-09-04 06:20:00,45.2,"2270009702"
"97588",2016-09-04 06:30:00,39.5,"2270009702"
"69090",2016-09-04 06:40:00,26.3333333333333,"2270009702"
"118617",2016-09-04 06:50:00,34.5,"2270009702"
"116268",2016-09-04 07:00:00,34.5555555555556,"2270009702"
"5869",2016-09-04 07:10:00,12.875,"2270009702"
"66114",2016-09-04 07:20:00,8.66666666666667,"2270009702"
"37116",2016-09-04 07:30:00,19,"2270009702"
"104643",2016-09-04 07:40:00,12,"2270009702"
"31324",2016-09-04 07:50:00,20.0833333333333,"2270009702"
"116310",2016-09-04 08:00:00,0,"2270009702"
"110780",2016-09-04 08:10:00,22.1538461538462,"2270009702"
"76215",2016-09-04 08:20:00,33,"2270009702"
"94039",2016-09-04 08:30:00,48.6666666666667,"2270009702"
"69800",2016-09-04 08:40:00,26,"2270009702"
"119351",2016-09-04 08:50:00,41,"2270009702"
"18967",2016-09-04 09:00:00,30.875,"2270009702"
"89380",2016-09-04 09:10:00,22,"2270009702"
"6616",2016-09-04 09:20:00,15.1111111111111,"2270009702"
"37815",2016-09-04 09:30:00,8.375,"2270009702"
"45737",2016-09-04 09:40:00,13.6666666666667,"2270009702"
"105380",2016-09-04 09:50:00,16.3333333333333,"2270009702"
"31978",2016-09-04 10:00:00,37.8,"2270009702"
"13221",2016-09-04 10:10:00,50.6666666666667,"2270009702"
"13226",2016-09-04 10:20:00,21.375,"2270009702"
"76886",2016-09-04 10:30:00,45.4,"2270009702"
"53689",2016-09-04 10:40:00,28.8333333333333,"2270009702"
"4323",2016-09-04 10:50:00,34.75,"2270009702"
"94562",2016-09-04 11:00:00,28.5833333333333,"2270009702"
"NA",2016-09-04 11:10:00,0,"2270009702"
