"","time","vel","LINK"
"64878",2016-09-01 05:00:00,24.7272727272727,"1230031000"
"4957",2016-09-01 05:10:00,19.9411764705882,"1230031000"
"162570",2016-09-01 05:20:00,26.55,"1230031000"
"76959",2016-09-01 05:30:00,30.6363636363636,"1230031000"
"124353",2016-09-01 05:40:00,33.7058823529412,"1230031000"
"95107",2016-09-01 05:50:00,22.7142857142857,"1230031000"
"58452",2016-09-01 06:00:00,29.4545454545455,"1230031000"
"136611",2016-09-01 06:10:00,15.5,"1230031000"
"14889",2016-09-01 06:20:00,37.7142857142857,"1230031000"
"143784",2016-09-01 06:30:00,20.0952380952381,"1230031000"
"42951",2016-09-01 06:40:00,18.5357142857143,"1230031000"
"111889",2016-09-01 06:50:00,22.1304347826087,"1230031000"
"27182",2016-09-01 07:00:00,7.74193548387097,"1230031000"
"83956",2016-09-01 07:10:00,32.2727272727273,"1230031000"
"20879",2016-09-01 07:20:00,21.2727272727273,"1230031000"
"65546",2016-09-01 07:30:00,8.71428571428571,"1230031000"
"5630",2016-09-01 07:40:00,13.9666666666667,"1230031000"
"887",2016-09-01 07:50:00,14.3513513513514,"1230031000"
"71208",2016-09-01 08:00:00,13.3076923076923,"1230031000"
"125090",2016-09-01 08:10:00,13.1,"1230031000"
"95928",2016-09-01 08:20:00,11.0923076923077,"1230031000"
"137297",2016-09-01 08:30:00,8.83870967741935,"1230031000"
"145254",2016-09-01 08:40:00,12.6923076923077,"1230031000"
"43676",2016-09-01 08:50:00,11.8571428571429,"1230031000"
"50611",2016-09-01 09:00:00,22.4285714285714,"1230031000"
"27967",2016-09-01 09:10:00,7.8125,"1230031000"
"131358",2016-09-01 09:20:00,26.8,"1230031000"
"21639",2016-09-01 09:30:00,13.56,"1230031000"
"66333",2016-09-01 09:40:00,15.36,"1230031000"
"6434",2016-09-01 09:50:00,13.5833333333333,"1230031000"
"78446",2016-09-01 10:00:00,11.7567567567568,"1230031000"
"125787",2016-09-01 10:10:00,7.82352941176471,"1230031000"
"96632",2016-09-01 10:20:00,26.5483870967742,"1230031000"
"176866",2016-09-01 10:30:00,8.5,"1230031000"
"138015",2016-09-01 10:40:00,10.3857142857143,"1230031000"
"146832",2016-09-01 10:50:00,4,"1230031000"
"44445",2016-09-01 11:00:00,12.2916666666667,"1230031000"
"132017",2016-09-01 11:10:00,15.5555555555556,"1230031000"
"28734",2016-09-01 11:20:00,9.078125,"1230031000"
"38004",2016-09-01 11:30:00,14.3333333333333,"1230031000"
"22302",2016-09-01 11:40:00,19,"1230031000"
"170790",2016-09-01 11:50:00,15.4642857142857,"1230031000"
"158310",2016-09-01 12:00:00,8.90476190476191,"1230031000"
"158366",2016-09-01 12:10:00,11.4137931034483,"1230031000"
"79134",2016-09-01 12:20:00,16.9,"1230031000"
"72634",2016-09-01 12:30:00,13.5,"1230031000"
"126500",2016-09-01 12:40:00,11.8548387096774,"1230031000"
"60621",2016-09-01 12:50:00,15.5789473684211,"1230031000"
"138689",2016-09-01 13:00:00,14.6,"1230031000"
"109483",2016-09-01 13:10:00,16.5769230769231,"1230031000"
"45153",2016-09-01 13:20:00,18.203125,"1230031000"
"52841",2016-09-01 13:30:00,11,"1230031000"
"29476",2016-09-01 13:40:00,11.16,"1230031000"
"22991",2016-09-01 13:50:00,7.7,"1230031000"
"171470",2016-09-01 14:00:00,15.5769230769231,"1230031000"
"159037",2016-09-01 14:10:00,14.5333333333333,"1230031000"
"79801",2016-09-01 14:20:00,14.4,"1230031000"
"127108",2016-09-01 14:30:00,3.16666666666667,"1230031000"
"73406",2016-09-01 14:40:00,24.6,"1230031000"
"34872",2016-09-01 14:50:00,16,"1230031000"
"61320",2016-09-01 15:00:00,9,"1230031000"
"139469",2016-09-01 15:10:00,9.46835443037975,"1230031000"
"11686",2016-09-01 15:20:00,0.378378378378378,"1230031000"
"53609",2016-09-01 15:30:00,20.4473684210526,"1230031000"
"30187",2016-09-01 15:40:00,15.2040816326531,"1230031000"
"39405",2016-09-01 15:50:00,32.2307692307692,"1230031000"
"68353",2016-09-01 16:00:00,22.7692307692308,"1230031000"
"8620",2016-09-01 16:10:00,11.9655172413793,"1230031000"
"159756",2016-09-01 16:20:00,20.25,"1230031000"
"80488",2016-09-01 16:30:00,12.2777777777778,"1230031000"
"74055",2016-09-01 16:40:00,16.0666666666667,"1230031000"
"35008",2016-09-01 16:50:00,22,"1230031000"
"98752",2016-09-01 17:00:00,12.025641025641,"1230031000"
"46558",2016-09-01 17:10:00,14.8235294117647,"1230031000"
"140186",2016-09-01 17:20:00,6.38461538461539,"1230031000"
"151182",2016-09-01 17:30:00,14.4615384615385,"1230031000"
"151232",2016-09-01 17:40:00,11.0526315789474,"1230031000"
"119393",2016-09-01 17:50:00,9.57142857142857,"1230031000"
"134110",2016-09-01 18:00:00,12.9512195121951,"1230031000"
"40156",2016-09-01 18:10:00,8.95833333333333,"1230031000"
"69110",2016-09-01 18:20:00,27,"1230031000"
"69117",2016-09-01 18:30:00,22.2857142857143,"1230031000"
"9461",2016-09-01 18:40:00,16.0357142857143,"1230031000"
"3472",2016-09-01 18:50:00,11.4444444444444,"1230031000"
"105981",2016-09-01 19:00:00,8,"1230031000"
"105996",2016-09-01 19:10:00,18.6216216216216,"1230031000"
"47337",2016-09-01 19:20:00,7.71428571428571,"1230031000"
"99514",2016-09-01 19:30:00,11.9122807017544,"1230031000"
"62789",2016-09-01 19:40:00,7.62295081967213,"1230031000"
"152694",2016-09-01 19:50:00,7.58620689655172,"1230031000"
"13140",2016-09-01 20:00:00,9.6056338028169,"1230031000"
"31769",2016-09-01 20:10:00,12.5949367088608,"1230031000"
"40934",2016-09-01 20:20:00,21.8571428571429,"1230031000"
"69798",2016-09-01 20:30:00,15.125,"1230031000"
"173846",2016-09-01 20:40:00,21.2631578947368,"1230031000"
"167623",2016-09-01 20:50:00,15.0555555555556,"1230031000"
"81978",2016-09-01 21:00:00,22.2647058823529,"1230031000"
"48017",2016-09-01 21:10:00,22.5333333333333,"1230031000"
"35656",2016-09-01 21:20:00,18.9411764705882,"1230031000"
"180604",2016-09-01 21:30:00,10.4166666666667,"1230031000"
"19708",2016-09-01 21:40:00,4.29166666666667,"1230031000"
"122215",2016-09-01 21:50:00,18.9565217391304,"1230031000"
"56659",2016-09-01 22:00:00,14.5102040816327,"1230031000"
"32519",2016-09-01 22:10:00,19.6129032258065,"1230031000"
"41588",2016-09-01 22:20:00,12.3157894736842,"1230031000"
"174540",2016-09-01 22:30:00,24.4285714285714,"1230031000"
"161953",2016-09-01 22:40:00,18.304347826087,"1230031000"
"107285",2016-09-01 22:50:00,13.2702702702703,"1230031000"
"129920",2016-09-01 23:00:00,13.4545454545455,"1230031000"
"100839",2016-09-01 23:10:00,20.88,"1230031000"
"142272",2016-09-01 23:20:00,20.4090909090909,"1230031000"
"14365",2016-09-01 23:30:00,10.4814814814815,"1230031000"
"110951",2016-09-01 23:40:00,26.0434782608696,"1230031000"
"135940",2016-09-01 23:50:00,21.9642857142857,"1230031000"
"4896",2016-09-01 05:00:00,13,"1230032200"
"64936",2016-09-01 05:10:00,13.4615384615385,"1230032200"
"5016",2016-09-01 05:20:00,14.2266666666667,"1230032200"
"70459",2016-09-01 05:30:00,10.0645161290323,"1230032200"
"77020",2016-09-01 05:40:00,18.5882352941176,"1230032200"
"70593",2016-09-01 05:50:00,11.3,"1230032200"
"95144",2016-09-01 06:00:00,19.0434782608696,"1230032200"
"58514",2016-09-01 06:10:00,14.2857142857143,"1230032200"
"136641",2016-09-01 06:20:00,10.4666666666667,"1230032200"
"14949",2016-09-01 06:30:00,11.3142857142857,"1230032200"
"143898",2016-09-01 06:40:00,12.2272727272727,"1230032200"
"43012",2016-09-01 06:50:00,9.67777777777778,"1230032200"
"49471",2016-09-01 07:00:00,13.1666666666667,"1230032200"
"20790",2016-09-01 07:10:00,13.219512195122,"1230032200"
"36594",2016-09-01 07:20:00,13.0961538461538,"1230032200"
"20922",2016-09-01 07:30:00,11.9701492537313,"1230032200"
"65605",2016-09-01 07:40:00,11.5652173913043,"1230032200"
"5690",2016-09-01 07:50:00,9.85526315789474,"1230032200"
"77768",2016-09-01 08:00:00,11.1066666666667,"1230032200"
"59122",2016-09-01 08:10:00,8.32530120481928,"1230032200"
"15500",2016-09-01 08:20:00,8.87272727272727,"1230032200"
"95994",2016-09-01 08:30:00,9.27083333333333,"1230032200"
"15621",2016-09-01 08:40:00,8.08235294117647,"1230032200"
"145376",2016-09-01 08:50:00,12.2,"1230032200"
"43737",2016-09-01 09:00:00,13.6282051282051,"1230032200"
"113603",2016-09-01 09:10:00,13.1960784313725,"1230032200"
"28028",2016-09-01 09:20:00,11.1734693877551,"1230032200"
"37391",2016-09-01 09:30:00,13.4571428571429,"1230032200"
"1373",2016-09-01 09:40:00,9.26530612244898,"1230032200"
"66395",2016-09-01 09:50:00,14.1517857142857,"1230032200"
"157761",2016-09-01 10:00:00,15.4444444444444,"1230032200"
"72004",2016-09-01 10:10:00,11.6551724137931,"1230032200"
"125847",2016-09-01 10:20:00,11.2432432432432,"1230032200"
"96683",2016-09-01 10:30:00,13.1296296296296,"1230032200"
"59995",2016-09-01 10:40:00,9.37254901960784,"1230032200"
"16297",2016-09-01 10:50:00,9.39622641509434,"1230032200"
"146954",2016-09-01 11:00:00,7.72549019607843,"1230032200"
"11023",2016-09-01 11:10:00,4.18095238095238,"1230032200"
"115221",2016-09-01 11:20:00,14.8434782608696,"1230032200"
"28797",2016-09-01 11:30:00,12.2444444444444,"1230032200"
"38063",2016-09-01 11:40:00,10.7692307692308,"1230032200"
"22347",2016-09-01 11:50:00,21.962962962963,"1230032200"
"67019",2016-09-01 12:00:00,17,"1230032200"
"7132",2016-09-01 12:10:00,14.6428571428571,"1230032200"
"158426",2016-09-01 12:20:00,14.1428571428571,"1230032200"
"79168",2016-09-01 12:30:00,19.3636363636364,"1230032200"
"60536",2016-09-01 12:40:00,9.76470588235294,"1230032200"
"34566",2016-09-01 12:50:00,7.61290322580645,"1230032200"
"60659",2016-09-01 13:00:00,9.02325581395349,"1230032200"
"16966",2016-09-01 13:10:00,10.7348484848485,"1230032200"
