"","time","vel","LINK"
"30411",2016-09-16 05:00:00,16.8,"2270007503"
"12175",2016-09-16 05:10:00,17.8888888888889,"2270007503"
"24487",2016-09-16 05:20:00,33.6666666666667,"2270007503"
"37680",2016-09-16 05:30:00,6.13333333333333,"2270007503"
"6017",2016-09-16 05:40:00,12.6190476190476,"2270007503"
"18871",2016-09-16 05:50:00,14.5,"2270007503"
"72768",2016-09-16 06:00:00,18.2,"2270007503"
"12577",2016-09-16 06:10:00,12.4444444444444,"2270007503"
"12585",2016-09-16 06:20:00,18.8928571428571,"2270007503"
"37876",2016-09-16 06:30:00,13.55,"2270007503"
"62513",2016-09-16 06:40:00,21.9545454545455,"2270007503"
"19067",2016-09-16 06:50:00,4.56363636363636,"2270007503"
"28",2016-09-16 07:00:00,21.0512820512821,"2270007503"
"31006",2016-09-16 07:10:00,13.8181818181818,"2270007503"
"25037",2016-09-16 07:20:00,11.6666666666667,"2270007503"
"50623",2016-09-16 07:30:00,13.4285714285714,"2270007503"
"6613",2016-09-16 07:40:00,1.27586206896552,"2270007503"
"56519",2016-09-16 07:50:00,19.5833333333333,"2270007503"
"50760",2016-09-16 08:00:00,15.4285714285714,"2270007503"
"50771",2016-09-16 08:10:00,19.76,"2270007503"
"31456",2016-09-16 08:20:00,23.6,"2270007503"
"25458",2016-09-16 08:30:00,23.2631578947368,"2270007503"
"79801",2016-09-16 08:40:00,12.6315789473684,"2270007503"
"827",2016-09-16 08:50:00,26.1515151515152,"2270007503"
"7095",2016-09-16 09:00:00,23.46875,"2270007503"
"19662",2016-09-16 09:10:00,13.0769230769231,"2270007503"
"31676",2016-09-16 09:20:00,24.8888888888889,"2270007503"
"13359",2016-09-16 09:30:00,14.2142857142857,"2270007503"
"25738",2016-09-16 09:40:00,15.2857142857143,"2270007503"
"7249",2016-09-16 09:50:00,6.27868852459016,"2270007503"
"1254",2016-09-16 10:00:00,7.83870967741935,"2270007503"
"74007",2016-09-16 10:10:00,14.9411764705882,"2270007503"
"20096",2016-09-16 10:20:00,18.3103448275862,"2270007503"
"85572",2016-09-16 10:30:00,17.8181818181818,"2270007503"
"13790",2016-09-16 10:40:00,10.2777777777778,"2270007503"
"1495",2016-09-16 10:50:00,21.5,"2270007503"
"1523",2016-09-16 11:00:00,9.51111111111111,"2270007503"
"68489",2016-09-16 11:10:00,11.1458333333333,"2270007503"
"63770",2016-09-16 11:20:00,9.18181818181818,"2270007503"
