"","time","vel","LINK"
"93715",2016-09-28 05:00:00,14.76,"1230028301"
"159652",2016-09-28 05:10:00,20.72,"1230028301"
"104299",2016-09-28 05:20:00,10.0666666666667,"1230028301"
"27324",2016-09-28 05:30:00,19.4375,"1230028301"
"135147",2016-09-28 05:40:00,13.7727272727273,"1230028301"
"129555",2016-09-28 05:50:00,12.2727272727273,"1230028301"
"81498",2016-09-28 06:00:00,22.7619047619048,"1230028301"
"81542",2016-09-28 06:10:00,29.0869565217391,"1230028301"
"57839",2016-09-28 06:20:00,19.1632653061224,"1230028301"
"73784",2016-09-28 06:30:00,18.1904761904762,"1230028301"
"40028",2016-09-28 06:40:00,14.5588235294118,"1230028301"
"22407",2016-09-28 06:50:00,18.3214285714286,"1230028301"
"51775",2016-09-28 07:00:00,18.1875,"1230028301"
"68661",2016-09-28 07:10:00,19.5454545454545,"1230028301"
"94219",2016-09-28 07:20:00,12.4444444444444,"1230028301"
"17394",2016-09-28 07:30:00,7.65909090909091,"1230028301"
"105701",2016-09-28 07:40:00,12.4262295081967,"1230028301"
"123492",2016-09-28 07:50:00,12.0208333333333,"1230028301"
"130178",2016-09-28 08:00:00,8.17857142857143,"1230028301"
"148365",2016-09-28 08:10:00,5.86363636363636,"1230028301"
"117182",2016-09-28 08:20:00,21.1,"1230028301"
"11051",2016-09-28 08:30:00,13.2333333333333,"1230028301"
"154748",2016-09-28 08:40:00,18.6307692307692,"1230028301"
"23035",2016-09-28 08:50:00,13.75,"1230028301"
"721",2016-09-28 09:00:00,16.6,"1230028301"
"69359",2016-09-28 09:10:00,11.125,"1230028301"
"94635",2016-09-28 09:20:00,12.375,"1230028301"
"94652",2016-09-28 09:30:00,13.375,"1230028301"
"161309",2016-09-28 09:40:00,16.0444444444444,"1230028301"
"100048",2016-09-28 09:50:00,13.3095238095238,"1230028301"
"28753",2016-09-28 10:00:00,14.225,"1230028301"
"149088",2016-09-28 10:10:00,1.75862068965517,"1230028301"
"84486",2016-09-28 10:20:00,25.7142857142857,"1230028301"
"142550",2016-09-28 10:30:00,22.875,"1230028301"
"60733",2016-09-28 10:40:00,13.6451612903226,"1230028301"
"155426",2016-09-28 10:50:00,21.1428571428571,"1230028301"
"34715",2016-09-28 11:00:00,24.0526315789474,"1230028301"
"42904",2016-09-28 11:10:00,20.375,"1230028301"
"1189",2016-09-28 11:20:00,28.1666666666667,"1230028301"
"53119",2016-09-28 11:30:00,14,"1230028301"
"53180",2016-09-28 11:40:00,25.6666666666667,"1230028301"
"95259",2016-09-28 11:50:00,24.1666666666667,"1230028301"
"18846",2016-09-28 12:00:00,13.2,"1230028301"
"108507",2016-09-28 12:10:00,15.4,"1230028301"
"29419",2016-09-28 12:20:00,17.1052631578947,"1230028301"
"137181",2016-09-28 12:30:00,13.2702702702703,"1230028301"
"149786",2016-09-28 12:40:00,15.0491803278689,"1230028301"
"85872",2016-09-28 12:50:00,14.8648648648649,"1230028301"
"156018",2016-09-28 13:00:00,25.28,"1230028301"
"35345",2016-09-28 13:10:00,13.9074074074074,"1230028301"
"24400",2016-09-28 13:20:00,16.4358974358974,"1230028301"
"53697",2016-09-28 13:30:00,11.3125,"1230028301"
"115310",2016-09-28 13:40:00,22.0769230769231,"1230028301"
"70686",2016-09-28 13:50:00,15.125,"1230028301"
"19483",2016-09-28 14:00:00,11.3333333333333,"1230028301"
"109789",2016-09-28 14:10:00,19.6666666666667,"1230028301"
"101352",2016-09-28 14:20:00,17.4411764705882,"1230028301"
"30131",2016-09-28 14:30:00,13.9268292682927,"1230028301"
"132247",2016-09-28 14:40:00,15.7704918032787,"1230028301"
"87168",2016-09-28 14:50:00,9.96666666666667,"1230028301"
"13185",2016-09-28 15:00:00,8.3469387755102,"1230028301"
"156700",2016-09-28 15:10:00,16.5111111111111,"1230028301"
"45616",2016-09-28 15:20:00,12.1914893617021,"1230028301"
"25106",2016-09-28 15:30:00,16.90625,"1230028301"
"NA",2016-09-28 15:40:00,0,"1230028301"
"NA1",2016-09-28 15:50:00,0,"1230028301"
"96557",2016-09-28 16:00:00,14.6785714285714,"1230028301"
"163462",2016-09-28 16:10:00,20.3125,"1230028301"
"111149",2016-09-28 16:20:00,25.9166666666667,"1230028301"
"126251",2016-09-28 16:30:00,21.5,"1230028301"
"138575",2016-09-28 16:40:00,18.0967741935484,"1230028301"
"151125",2016-09-28 16:50:00,1.26315789473684,"1230028301"
"88574",2016-09-28 17:00:00,15.4426229508197,"1230028301"
"13880",2016-09-28 17:10:00,10.5348837209302,"1230028301"
"64179",2016-09-28 17:20:00,3.91489361702128,"1230028301"
"77250",2016-09-28 17:30:00,17.6428571428571,"1230028301"
"25781",2016-09-28 17:40:00,17.2222222222222,"1230028301"
"7386",2016-09-28 17:50:00,18.64,"1230028301"
"55149",2016-09-28 18:00:00,8.16666666666667,"1230028301"
"71411",2016-09-28 18:10:00,31.3333333333333,"1230028301"
"97227",2016-09-28 18:20:00,19.2857142857143,"1230028301"
"97232",2016-09-28 18:30:00,10.3703703703704,"1230028301"
"112741",2016-09-28 18:40:00,29.8,"1230028301"
"112809",2016-09-28 18:50:00,21.1818181818182,"1230028301"
"127076",2016-09-28 19:00:00,18.9677419354839,"1230028301"
"139353",2016-09-28 19:10:00,5.43137254901961,"1230028301"
"120553",2016-09-28 19:20:00,11.328125,"1230028301"
"145323",2016-09-28 19:30:00,14.2777777777778,"1230028301"
"14819",2016-09-28 19:40:00,20.1333333333333,"1230028301"
"78042",2016-09-28 19:50:00,21.2272727272727,"1230028301"
"26487",2016-09-28 20:00:00,15.1428571428571,"1230028301"
"55832",2016-09-28 20:10:00,11.36,"1230028301"
"80349",2016-09-28 20:20:00,29,"1230028301"
"21615",2016-09-28 20:30:00,7,"1230028301"
"164957",2016-09-28 20:40:00,20.8461538461538,"1230028301"
"103469",2016-09-28 20:50:00,20.7435897435897,"1230028301"
"32288",2016-09-28 21:00:00,16.3333333333333,"1230028301"
"152685",2016-09-28 21:10:00,3.9047619047619,"1230028301"
"91508",2016-09-28 21:20:00,18.5,"1230028301"
"15514",2016-09-28 21:30:00,13.4444444444444,"1230028301"
"78687",2016-09-28 21:40:00,15.2424242424242,"1230028301"
"49896",2016-09-28 21:50:00,16.7142857142857,"1230028301"
"8895",2016-09-28 22:00:00,14.9047619047619,"1230028301"
"56477",2016-09-28 22:10:00,11.025641025641,"1230028301"
"72728",2016-09-28 22:20:00,5.25,"1230028301"
"165672",2016-09-28 22:30:00,25,"1230028301"
"165728",2016-09-28 22:40:00,18.8235294117647,"1230028301"
"128494",2016-09-28 22:50:00,4,"1230028301"
"153368",2016-09-28 23:00:00,7.78787878787879,"1230028301"
"92856",2016-09-28 23:10:00,18.5121951219512,"1230028301"
"16207",2016-09-28 23:20:00,24.8928571428571,"1230028301"
"159135",2016-09-28 23:30:00,12.8709677419355,"1230028301"
"79367",2016-09-28 23:40:00,26.2894736842105,"1230028301"
"38984",2016-09-28 23:50:00,18.875,"1230028301"
"27137",2016-09-28 05:00:00,21.9583333333333,"2270051800"
"129305",2016-09-28 05:10:00,14.8181818181818,"2270051800"
"80964",2016-09-28 05:20:00,13.7647058823529,"2270051800"
"140869",2016-09-28 05:30:00,12.4242424242424,"2270051800"
"10099",2016-09-28 05:40:00,19.1304347826087,"2270051800"
"153800",2016-09-28 05:50:00,9.3,"2270051800"
"32987",2016-09-28 06:00:00,23.9811320754717,"2270051800"
"22168",2016-09-28 06:10:00,11.25,"2270051800"
"59",2016-09-28 06:20:00,13.25,"2270051800"
"68408",2016-09-28 06:30:00,10.7096774193548,"2270051800"
"147956",2016-09-28 06:40:00,8.52727272727273,"2270051800"
"160254",2016-09-28 06:50:00,9.30985915492958,"2270051800"
"141428",2016-09-28 07:00:00,14.8108108108108,"2270051800"
"58407",2016-09-28 07:10:00,11.1153846153846,"2270051800"
"33486",2016-09-28 07:20:00,7.45833333333333,"2270051800"
"82420",2016-09-28 07:30:00,9.90697674418605,"2270051800"
"10727",2016-09-28 07:40:00,15,"2270051800"
"51998",2016-09-28 07:50:00,11.4901960784314,"2270051800"
"33617",2016-09-28 08:00:00,19.5135135135135,"2270051800"
"22793",2016-09-28 08:10:00,7.54545454545455,"2270051800"
"52179",2016-09-28 08:20:00,6,"2270051800"
"115021",2016-09-28 08:30:00,8.92063492063492,"2270051800"
"99667",2016-09-28 08:40:00,12.3725490196078,"2270051800"
"17892",2016-09-28 08:50:00,10.1481481481481,"2270051800"
"148665",2016-09-28 09:00:00,9.56989247311828,"2270051800"
"99798",2016-09-28 09:10:00,12.1851851851852,"2270051800"
"28491",2016-09-28 09:20:00,11.8333333333333,"2270051800"
"148846",2016-09-28 09:30:00,7.50515463917526,"2270051800"
"117648",2016-09-28 09:40:00,11.9014084507042,"2270051800"
"955",2016-09-28 09:50:00,10.6756756756757,"2270051800"
"69647",2016-09-28 10:00:00,18.2432432432432,"2270051800"
"94867",2016-09-28 10:10:00,11.6296296296296,"2270051800"
"18453",2016-09-28 10:20:00,13.1315789473684,"2270051800"
"42398",2016-09-28 10:30:00,11.6941176470588,"2270051800"
"4993",2016-09-28 10:40:00,11.2549019607843,"2270051800"
"52875",2016-09-28 10:50:00,4.64444444444444,"2270051800"
"149386",2016-09-28 11:00:00,10.3947368421053,"2270051800"
"85080",2016-09-28 11:10:00,10.8666666666667,"2270051800"
"18583",2016-09-28 11:20:00,15,"2270051800"
"61309",2016-09-28 11:30:00,14.968253968254,"2270051800"
"124660",2016-09-28 11:40:00,10.7837837837838,"2270051800"
"29227",2016-09-28 11:50:00,6.05769230769231,"2270051800"
"149546",2016-09-28 12:00:00,7.98148148148148,"2270051800"
"5558",2016-09-28 12:10:00,11.0192307692308,"2270051800"
"70282",2016-09-28 12:20:00,11.7454545454545,"2270051800"
"75642",2016-09-28 12:30:00,17.7826086956522,"2270051800"
"24157",2016-09-28 12:40:00,14.1219512195122,"2270051800"
"53451",2016-09-28 12:50:00,8.20408163265306,"2270051800"
"101005",2016-09-28 13:00:00,14.0714285714286,"2270051800"
"29733",2016-09-28 13:10:00,14.4166666666667,"2270051800"
"131868",2016-09-28 13:20:00,8.83333333333333,"2270051800"
"118808",2016-09-28 13:30:00,10.6666666666667,"2270051800"
"101108",2016-09-28 13:40:00,13.1320754716981,"2270051800"
"62381",2016-09-28 13:50:00,5.025,"2270051800"
"132001",2016-09-28 14:00:00,8.36363636363636,"2270051800"
"86668",2016-09-28 14:10:00,19.9782608695652,"2270051800"
"12939",2016-09-28 14:20:00,8.025,"2270051800"
"62609",2016-09-28 14:30:00,20.5,"2270051800"
"45118",2016-09-28 14:40:00,16.6140350877193,"2270051800"
"6362",2016-09-28 14:50:00,11.921568627451,"2270051800"
"115366",2016-09-28 15:00:00,8.66666666666667,"2270051800"
"101663",2016-09-28 15:10:00,13.7857142857143,"2270051800"
"96361",2016-09-28 15:20:00,7.95833333333333,"2270051800"
"138232",2016-09-28 15:30:00,4.56140350877193,"2270051800"
"110681",2016-09-28 15:40:00,12.1230769230769,"2270051800"
"13500",2016-09-28 15:50:00,9.53571428571429,"2270051800"
"36393",2016-09-28 16:00:00,5.45161290322581,"2270051800"
"150885",2016-09-28 16:10:00,9.94594594594595,"2270051800"
