"","X","time","vel","LINK"
"104","32519","2016-09-01 22:10:00",19.6129032258065,1230031000
"105","41588","2016-09-01 22:20:00",12.3157894736842,1230031000
"106","174540","2016-09-01 22:30:00",24.4285714285714,1230031000
"107","161953","2016-09-01 22:40:00",18.304347826087,1230031000
"108","107285","2016-09-01 22:50:00",13.2702702702703,1230031000
"109","129920","2016-09-01 23:00:00",13.4545454545455,1230031000
"110","100839","2016-09-01 23:10:00",20.88,1230031000
"111","142272","2016-09-01 23:20:00",20.4090909090909,1230031000
"112","14365","2016-09-01 23:30:00",10.4814814814815,1230031000
"113","110951","2016-09-01 23:40:00",26.0434782608696,1230031000
"114","135940","2016-09-01 23:50:00",21.9642857142857,1230031000
"5701","153978","2016-09-02 05:00:00",0,1230031000
"5702","93332","2016-09-02 05:10:00",27.3529411764706,1230031000
"5703","165885","2016-09-02 05:20:00",18.4444444444444,1230031000
"5704","20976","2016-09-02 05:30:00",30.4,1230031000
"5705","39214","2016-09-02 05:40:00",26.8888888888889,1230031000
"5706","55588","2016-09-02 05:50:00",23.3333333333333,1230031000
"5707","106107","2016-09-02 06:00:00",23,1230031000
"5708","106141","2016-09-02 06:10:00",13.8333333333333,1230031000
"5709","86621","2016-09-02 06:20:00",13,1230031000
"5710","79990","2016-09-02 06:30:00",24.9375,1230031000
"5711","100323","2016-09-02 06:40:00",19.8888888888889,1230031000
"5712","100339","2016-09-02 06:50:00",22.9772727272727,1230031000
"5713","648","2016-09-02 07:00:00",26.6470588235294,1230031000
"5714","131122","2016-09-02 07:10:00",18.2058823529412,1230031000
"5715","159886","2016-09-02 07:20:00",15.7777777777778,1230031000
"5716","154718","2016-09-02 07:30:00",2.71428571428571,1230031000
"5717","94078","2016-09-02 07:40:00",11.0208333333333,1230031000
"5718","21660","2016-09-02 07:50:00",10.4444444444444,1230031000
"5719","39873","2016-09-02 08:00:00",12.7142857142857,1230031000
"5720","10549","2016-09-02 08:10:00",12.1935483870968,1230031000
"5721","7007","2016-09-02 08:20:00",11.3333333333333,1230031000
"5722","49823","2016-09-02 08:30:00",27.25,1230031000
"5723","46629","2016-09-02 08:40:00",18.2702702702703,1230031000
"5724","100955","2016-09-02 08:50:00",15.4565217391304,1230031000
"5725","1355","2016-09-02 09:00:00",37.2222222222222,1230031000
"5726","125753","2016-09-02 09:10:00",12,1230031000
"5727","131843","2016-09-02 09:20:00",14.04,1230031000
"5728","34043","2016-09-02 09:30:00",6.41176470588235,1230031000
"5729","34071","2016-09-02 09:40:00",7.84615384615385,1230031000
"5730","138431","2016-09-02 09:50:00",14.875,1230031000
"5731","22443","2016-09-02 10:00:00",21.3783783783784,1230031000
"5732","11318","2016-09-02 10:10:00",13.8636363636364,1230031000
"5733","56984","2016-09-02 10:20:00",12.85,1230031000
"5734","7393","2016-09-02 10:30:00",17.4444444444444,1230031000
"5735","75199","2016-09-02 10:40:00",16.5333333333333,1230031000
"5736","88144","2016-09-02 10:50:00",15.375,1230031000
"5737","81467","2016-09-02 11:00:00",21.3333333333333,1230031000
"5738","101539","2016-09-02 11:10:00",26.1538461538462,1230031000
"5739","28252","2016-09-02 11:20:00",20.3571428571429,1230031000
"5740","161139","2016-09-02 11:30:00",25.9,1230031000
"5741","132495","2016-09-02 11:40:00",15.3333333333333,1230031000
"5742","119767","2016-09-02 11:50:00",2.18181818181818,1230031000
"5743","95548","2016-09-02 12:00:00",24.0769230769231,1230031000
"5744","168018","2016-09-02 12:10:00",14.5,1230031000
"5745","149563","2016-09-02 12:20:00",3.38095238095238,1230031000
"5746","41312","2016-09-02 12:30:00",18.125,1230031000
"5747","41372","2016-09-02 12:40:00",9.27083333333333,1230031000
"5748","18495","2016-09-02 12:50:00",12.2127659574468,1230031000
"5749","75889","2016-09-02 13:00:00",9.09677419354839,1230031000
"5750","82169","2016-09-02 13:10:00",21.0285714285714,1230031000
"5751","102098","2016-09-02 13:20:00",14.5952380952381,1230031000
"5752","2800","2016-09-02 13:30:00",16.6,1230031000
"5753","133173","2016-09-02 13:40:00",19.7368421052632,1230031000
"5754","120415","2016-09-02 13:50:00",14.7435897435897,1230031000
"5755","156830","2016-09-02 14:00:00",0,1230031000
"5756","96257","2016-09-02 14:10:00",27.3125,1230031000
"5757","139819","2016-09-02 14:20:00",26.7142857142857,1230031000
"5758","23869","2016-09-02 14:30:00",30.25,1230031000
"5759","42065","2016-09-02 14:40:00",30.875,1230031000
"5760","12791","2016-09-02 14:50:00",12.6428571428571,1230031000
"5761","19214","2016-09-02 15:00:00",3.71052631578947,1230031000
"5762","76570","2016-09-02 15:10:00",13.0350877192982,1230031000
"5763","89814","2016-09-02 15:20:00",9.17857142857143,1230031000
"5764","102768","2016-09-02 15:30:00",5.70588235294118,1230031000
"5765","3558","2016-09-02 15:40:00",9.92592592592593,1230031000
"5766","133900","2016-09-02 15:50:00",13.48,1230031000
"5767","121146","2016-09-02 16:00:00",6.57142857142857,1230031000
"5768","157567","2016-09-02 16:10:00",1.375,1230031000
"5769","140554","2016-09-02 16:20:00",12.32,1230031000
"5770","169477","2016-09-02 16:30:00",22.4583333333333,1230031000
"5771","24582","2016-09-02 16:40:00",16.6923076923077,1230031000
"5772","42860","2016-09-02 16:50:00",12.7037037037037,1230031000
"5773","59073","2016-09-02 17:00:00",12.45,1230031000
"5774","77228","2016-09-02 17:10:00",13.8666666666667,1230031000
"5775","90564","2016-09-02 17:20:00",14,1230031000
"5776","83612","2016-09-02 17:30:00",35.5,1230031000
"5777","103350","2016-09-02 17:40:00",31.4,1230031000
"5778","69486","2016-09-02 17:50:00",19.5294117647059,1230031000
"5779","4285","2016-09-02 18:00:00",21,1230031000
"5780","4352","2016-09-02 18:10:00",17.4761904761905,1230031000
"5781","128762","2016-09-02 18:20:00",9.26315789473684,1230031000
"5782","121979","2016-09-02 18:30:00",12.5,1230031000
"5783","37071","2016-09-02 18:40:00",11.2666666666667,1230031000
"5784","158382","2016-09-02 18:50:00",5.14754098360656,1230031000
"5785","141414","2016-09-02 19:00:00",2.83333333333333,1230031000
"5786","151801","2016-09-02 19:10:00",24.7,1230031000
"5787","43778","2016-09-02 19:20:00",15.4193548387097,1230031000
"5788","59855","2016-09-02 19:30:00",15,1230031000
"5789","114809","2016-09-02 19:40:00",6.96666666666667,1230031000
"5790","91373","2016-09-02 19:50:00",6.46666666666667,1230031000
"5791","70764","2016-09-02 20:00:00",10.7105263157895,1230031000
"5792","5085","2016-09-02 20:10:00",10.25,1230031000
"5793","135409","2016-09-02 20:20:00",19.1,1230031000
"5794","37726","2016-09-02 20:30:00",3.17857142857143,1230031000
"5795","NA20","2016-09-02 20:40:00",0,1230031000
"5796","98591","2016-09-02 20:50:00",18.4736842105263,1230031000
"5797","152478","2016-09-02 21:00:00",22.8235294117647,1230031000
"5798","44463","2016-09-02 21:10:00",23.1666666666667,1230031000
"5799","15101","2016-09-02 21:20:00",12.8333333333333,1230031000
"5800","60542","2016-09-02 21:30:00",11.1818181818182,1230031000
"5801","9090","2016-09-02 21:40:00",10.9607843137255,1230031000
"5802","92092","2016-09-02 21:50:00",11.0294117647059,1230031000
"5803","104549","2016-09-02 22:00:00",11.6909090909091,1230031000
"5804","5781","2016-09-02 22:10:00",18.2272727272727,1230031000
"5805","136073","2016-09-02 22:20:00",15.4102564102564,1230031000
"5806","123381","2016-09-02 22:30:00",13.9677419354839,1230031000
"5807","99256","2016-09-02 22:40:00",12.2608695652174,1230031000
"5808","153144","2016-09-02 22:50:00",35.8333333333333,1230031000
"5809","15687","2016-09-02 23:00:00",34.4166666666667,1230031000
"5810","61128","2016-09-02 23:10:00",7.93333333333333,1230031000
"5811","9353","2016-09-02 23:20:00",34.3333333333333,1230031000
"5812","117569","2016-09-02 23:30:00",20.7096774193548,1230031000
"5813","54967","2016-09-02 23:40:00",33.8,1230031000
"5814","73156","2016-09-02 23:50:00",20.5348837209302,1230031000
"8209","303","2016-09-03 05:00:00",40.75,1230031000
"8210","29688","2016-09-03 05:10:00",24.5294117647059,1230031000
"8211","89413","2016-09-03 05:20:00",27.8,1230031000
"8212","127222","2016-09-03 05:30:00",32.8888888888889,1230031000
"8213","73972","2016-09-03 05:40:00",26.24,1230031000
"8214","134030","2016-09-03 05:50:00",18.0666666666667,1230031000
"8215","4777","2016-09-03 06:00:00",20.6666666666667,1230031000
"8216","97878","2016-09-03 06:10:00",17,1230031000
"8217","97879","2016-09-03 06:20:00",21.4166666666667,1230031000
"8218","80311","2016-09-03 06:30:00",13.9411764705882,1230031000
"8219","84062","2016-09-03 06:40:00",23.1463414634146,1230031000
"8220","67964","2016-09-03 06:50:00",30,1230031000
"8221","104314","2016-09-03 07:00:00",23.5,1230031000
"8222","11306","2016-09-03 07:10:00",29.8823529411765,1230031000
"8223","23558","2016-09-03 07:20:00",12.6666666666667,1230031000
"8224","30295","2016-09-03 07:30:00",19.9032258064516,1230031000
"8225","143295","2016-09-03 07:40:00",35.8529411764706,1230031000
"8226","49555","2016-09-03 07:50:00",13.7857142857143,1230031000
"8227","74578","2016-09-03 08:00:00",22.5833333333333,1230031000
"8228","36432","2016-09-03 08:10:00",8.82352941176471,1230031000
"8229","61844","2016-09-03 08:20:00",15.4090909090909,1230031000
"8230","111036","2016-09-03 08:30:00",25.7777777777778,1230031000
"8231","80970","2016-09-03 08:40:00",14.9090909090909,1230031000
"8232","156170","2016-09-03 08:50:00",12.3333333333333,1230031000
"8233","68625","2016-09-03 09:00:00",19.037037037037,1230031000
"8234","11946","2016-09-03 09:10:00",19.6842105263158,1230031000
"8235","24241","2016-09-03 09:20:00",27.1111111111111,1230031000
"8236","31092","2016-09-03 09:30:00",31.3333333333333,1230031000
"8237","31099","2016-09-03 09:40:00",16.0217391304348,1230031000
"8238","128533","2016-09-03 09:50:00",17.8,1230031000
"8239","128585","2016-09-03 10:00:00",21.962962962963,1230031000
"8240","6233","2016-09-03 10:10:00",13.1296296296296,1230031000
"8241","135469","2016-09-03 10:20:00",11.7857142857143,1230031000
"8242","36776","2016-09-03 10:30:00",16.9583333333333,1230031000
"8243","18757","2016-09-03 10:40:00",14.1290322580645,1230031000
"8244","111750","2016-09-03 10:50:00",13.25,1230031000
"8245","81661","2016-09-03 11:00:00",35.2222222222222,1230031000
"8246","157588","2016-09-03 11:10:00",17.2666666666667,1230031000
"8247","69377","2016-09-03 11:20:00",12.3055555555556,1230031000
"8248","12622","2016-09-03 11:30:00",11.375,1230031000
"8249","168334","2016-09-03 11:40:00",20.4,1230031000
"8250","56619","2016-09-03 11:50:00",8.1875,1230031000
"8251","140535","2016-09-03 12:00:00",9.88888888888889,1230031000
"8252","31809","2016-09-03 12:10:00",15.4827586206897,1230031000
"8253","146265","2016-09-03 12:20:00",18.25,1230031000
"8254","129329","2016-09-03 12:30:00",15.5384615384615,1230031000
"8255","6958","2016-09-03 12:40:00",11.2,1230031000
"8256","136192","2016-09-03 12:50:00",13.1666666666667,1230031000
"8257","63253","2016-09-03 13:00:00",8.25862068965517,1230031000
"8258","112585","2016-09-03 13:10:00",16.9583333333333,1230031000
"8259","82322","2016-09-03 13:20:00",9.2,1230031000
"8260","86211","2016-09-03 13:30:00",12.2840909090909,1230031000
"8261","70112","2016-09-03 13:40:00",1.80952380952381,1230031000
"8262","169043","2016-09-03 13:50:00",23.5172413793103,1230031000
"8263","2563","2016-09-03 14:00:00",9.6,1230031000
"8264","140738","2016-09-03 14:10:00",7.77777777777778,1230031000
"8265","92149","2016-09-03 14:20:00",7.24,1230031000
"8266","51722","2016-09-03 14:30:00",9.15,1230031000
"8267","7711","2016-09-03 14:40:00",28.2083333333333,1230031000
"8268","136906","2016-09-03 14:50:00",25.3333333333333,1230031000
"8269","20107","2016-09-03 15:00:00",16.5,1230031000
"8270","64019","2016-09-03 15:10:00",7.45454545454545,1230031000
"8271","113320","2016-09-03 15:20:00",16.4,1230031000
"8272","160672","2016-09-03 15:30:00",15.22,1230031000
"8273","70793","2016-09-03 15:40:00",12.85,1230031000
"8274","26283","2016-09-03 15:50:00",7.26923076923077,1230031000
"8275","26352","2016-09-03 16:00:00",14.4615384615385,1230031000
"8276","3197","2016-09-03 16:10:00",12.5,1230031000
"8277","33360","2016-09-03 16:20:00",13.7575757575758,1230031000
"8278","92874","2016-09-03 16:30:00",10.6976744186047,1230031000
"8279","130741","2016-09-03 16:40:00",13.9387755102041,1230031000
"8280","77463","2016-09-03 16:50:00",23.1219512195122,1230031000
"8281","137666","2016-09-03 17:00:00",7.84210526315789,1230031000
"8282","64751","2016-09-03 17:10:00",12.5555555555556,1230031000
"8283","64765","2016-09-03 17:20:00",10.2083333333333,1230031000
"8284","101416","2016-09-03 17:30:00",22.7777777777778,1230031000
"8285","114176","2016-09-03 17:40:00",1.89473684210526,1230031000
"8286","87817","2016-09-03 17:50:00",20.7837837837838,1230031000
"8287","71540","2016-09-03 18:00:00",13.0882352941176,1230031000
"8288","107819","2016-09-03 18:10:00",3.58333333333333,1230031000
"8289","170538","2016-09-03 18:20:00",20.0555555555556,1230031000
"8290","27130","2016-09-03 18:30:00",17.6875,1230031000
"8291","34159","2016-09-03 18:40:00",16.1538461538462,1230031000
"8292","150587","2016-09-03 18:50:00",30.1739130434783,1230031000
"8293","53230","2016-09-03 19:00:00",16.25,1230031000
"8294","9199","2016-09-03 19:10:00",21.7142857142857,1230031000
"8295","138404","2016-09-03 19:20:00",17.6666666666667,1230031000
"8296","65489","2016-09-03 19:30:00",13.7272727272727,1230031000
"8297","102111","2016-09-03 19:40:00",9.26470588235294,1230031000
"8298","114878","2016-09-03 19:50:00",10.5483870967742,1230031000
"8299","72210","2016-09-03 20:00:00",28.3529411764706,1230031000
"8300","72236","2016-09-03 20:10:00",11.2857142857143,1230031000
"8301","15470","2016-09-03 20:20:00",11.3939393939394,1230031000
"8302","59480","2016-09-03 20:30:00",35.25,1230031000
"8303","151753","2016-09-03 20:40:00",7.33333333333333,1230031000
"8304","34962","2016-09-03 20:50:00",13.4042553191489,1230031000
"8305","132227","2016-09-03 21:00:00",22.4736842105263,1230031000
"8306","53958","2016-09-03 21:10:00",13.1764705882353,1230031000
"8307","66120","2016-09-03 21:20:00",19.3333333333333,1230031000
"8308","139144","2016-09-03 21:30:00",22.2307692307692,1230031000
"8309","66242","2016-09-03 21:40:00",7.38461538461539,1230031000
"8310","115613","2016-09-03 21:50:00",20.6896551724138,1230031000
"8311","165120","2016-09-03 22:00:00",8.79310344827586,1230031000
"8312","121863","2016-09-03 22:10:00",8.81081081081081,1230031000
"8313","16188","2016-09-03 22:20:00",9.6734693877551,1230031000
"8314","35609","2016-09-03 22:30:00",14.3333333333333,1230031000
"8315","153203","2016-09-03 22:40:00",29.5714285714286,1230031000
"8316","132902","2016-09-03 22:50:00",28.9705882352941,1230031000
"8317","10564","2016-09-03 23:00:00",19.9354838709677,1230031000
"8318","NA27","2016-09-03 23:10:00",0,1230031000
"8319","103409","2016-09-03 23:20:00",13.0909090909091,1230031000
"8320","22959","2016-09-03 23:30:00",12.969696969697,1230031000
"8321","166394","2016-09-03 23:40:00",28,1230031000
"8322","126502","2016-09-03 23:50:00",22.0625,1230031000
"10489","118207","2016-09-04 05:00:00",25.3333333333333,1230031000
"10490","17916","2016-09-04 05:10:00",20.625,1230031000
"10491","88297","2016-09-04 05:20:00",31,1230031000
"10492","5479","2016-09-04 05:30:00",29.8333333333333,1230031000
"10493","36739","2016-09-04 05:40:00",12.3333333333333,1230031000
"10494","44522","2016-09-04 05:50:00",16,1230031000
"10495","104210","2016-09-04 06:00:00",31.6666666666667,1230031000
"10496","81936","2016-09-04 06:10:00",18.25,1230031000
"10497","74725","2016-09-04 06:20:00",17.75,1230031000
"10498","11989","2016-09-04 06:30:00",32.7272727272727,1230031000
"10499","75781","2016-09-04 06:40:00",43.1428571428571,1230031000
"10500","51403","2016-09-04 06:50:00",36.5333333333333,1230031000
"10501","42846","2016-09-04 07:00:00",22.2307692307692,1230031000
"10502","69279","2016-09-04 07:10:00",24.3157894736842,1230031000
"10503","25120","2016-09-04 07:20:00",13.8,1230031000
"10504","18484","2016-09-04 07:30:00",23.5882352941176,1230031000
"10505","88867","2016-09-04 07:40:00",31.7894736842105,1230031000
"10506","66300","2016-09-04 07:50:00",23.9090909090909,1230031000
"10507","37309","2016-09-04 08:00:00",15.8636363636364,1230031000
"10508","104852","2016-09-04 08:10:00",25.64,1230031000
"10509","82559","2016-09-04 08:20:00",24.04,1230031000
"10510","12563","2016-09-04 08:30:00",31,1230031000
"10511","110984","2016-09-04 08:40:00",21.4444444444444,1230031000
"10512","52601","2016-09-04 08:50:00",24.88,1230031000
"10513","98391","2016-09-04 09:00:00",17.95,1230031000
"10514","69985","2016-09-04 09:10:00",6.42105263157895,1230031000
"10515","25785","2016-09-04 09:20:00",21.5,1230031000
"10516","119599","2016-09-04 09:30:00",31.375,1230031000
"10517","89605","2016-09-04 09:40:00",29.9090909090909,1230031000
"10518","6854","2016-09-04 09:50:00",32.0555555555556,1230031000
"10519","67049","2016-09-04 10:00:00",20.1333333333333,1230031000
"10520","38020","2016-09-04 10:10:00",14.5,1230031000
"10521","45980","2016-09-04 10:20:00",22.8,1230031000
"10522","105618","2016-09-04 10:30:00",19.5,1230031000
"10523","63157","2016-09-04 10:40:00",12.6153846153846,1230031000
"10524","13410","2016-09-04 10:50:00",26.3333333333333,1230031000
"10525","111694","2016-09-04 11:00:00",27.1176470588235,1230031000
"10526","77114","2016-09-04 11:10:00",31.6521739130435,1230031000
"10527","99066","2016-09-04 11:20:00",14.6428571428571,1230031000
"10528","94747","2016-09-04 11:30:00",25.25,1230031000
"10529","70685","2016-09-04 11:40:00",17.8421052631579,1230031000
"10530","120298","2016-09-04 11:50:00",23.5,1230031000
"10531","120318","2016-09-04 12:00:00",26.9285714285714,1230031000
"10532","116682","2016-09-04 12:10:00",9.44117647058824,1230031000
"10533","7532","2016-09-04 12:20:00",25.3461538461538,1230031000
"10534","38695","2016-09-04 12:30:00",8.81818181818182,1230031000
"10535","38712","2016-09-04 12:40:00",15.1515151515152,1230031000
"10536","106297","2016-09-04 12:50:00",20.8888888888889,1230031000
"10537","32826","2016-09-04 13:00:00",10.625,1230031000
"10538","NA30","2016-09-04 13:10:00",0,1230031000
"10539","112403","2016-09-04 13:20:00",17.475,1230031000
"10540","55473","2016-09-04 13:30:00",15.3606557377049,1230031000
"10541","95242","2016-09-04 13:40:00",26.5714285714286,1230031000
"10542","27081","2016-09-04 13:50:00",13.8461538461538,1230031000
"10543","121026","2016-09-04 14:00:00",23.6666666666667,1230031000
"10544","20551","2016-09-04 14:10:00",14.84,1230031000
"10545","90939","2016-09-04 14:20:00",14.9,1230031000
"10546","75052","2016-09-04 14:30:00",2,1230031000
"10547","75053","2016-09-04 14:40:00",12.3076923076923,1230031000
"10548","106992","2016-09-04 14:50:00",10.3181818181818,1230031000
"10549","63763","2016-09-04 15:00:00",20.03125,1230031000
"10550","NA115","2016-09-04 15:10:00",0,1230031000
"10551","113113","2016-09-04 15:20:00",13.72,1230031000
"10552","78454","2016-09-04 15:30:00",15.3194444444444,1230031000
"10553","95724","2016-09-04 15:40:00",25,1230031000
"10554","72034","2016-09-04 15:50:00",13.2222222222222,1230031000
"10555","121721","2016-09-04 16:00:00",21.6428571428571,1230031000
"10556","21276","2016-09-04 16:10:00",21.5789473684211,1230031000
"10557","117120","2016-09-04 16:20:00",19.8709677419355,1230031000
"10558","8913","2016-09-04 16:30:00",30.5,1230031000
"10559","40012","2016-09-04 16:40:00",14.25,1230031000
"10560","107628","2016-09-04 16:50:00",26.6111111111111,1230031000
"10561","107680","2016-09-04 17:00:00",11.75,1230031000
"10562","85356","2016-09-04 17:10:00",15.48,1230031000
"10563","34171","2016-09-04 17:20:00",10.04,1230031000
"10564","113815","2016-09-04 17:30:00",26.5,1230031000
"10565","113840","2016-09-04 17:40:00",33.4117647058824,1230031000
"10566","58299","2016-09-04 17:50:00",18.8461538461538,1230031000
"10567","1740","2016-09-04 18:00:00",21.2666666666667,1230031000
"10568","72781","2016-09-04 18:10:00",12.0769230769231,1230031000
"10569","23707","2016-09-04 18:20:00",23.2631578947368,1230031000
"10570","122454","2016-09-04 18:30:00",12.5757575757576,1230031000
"10571","92312","2016-09-04 18:40:00",19.8,1230031000
"10572","9616","2016-09-04 18:50:00",21.5454545454545,1230031000
"10573","48726","2016-09-04 19:00:00",32,1230031000
"10574","48748","2016-09-04 19:10:00",17.1724137931034,1230031000
"10575","86042","2016-09-04 19:20:00",17,1230031000
"10576","34898","2016-09-04 19:30:00",8.06666666666667,1230031000
"10577","114506","2016-09-04 19:40:00",36.7142857142857,1230031000
"10578","79829","2016-09-04 19:50:00",22.25,1230031000
"10579","59599","2016-09-04 20:00:00",15.8727272727273,1230031000
"10580","2430","2016-09-04 20:10:00",16.8108108108108,1230031000
"10581","29132","2016-09-04 20:20:00",22.2777777777778,1230031000
"10582","24410","2016-09-04 20:30:00",20.0952380952381,1230031000
"10583","22764","2016-09-04 20:40:00",13.6410256410256,1230031000
"10584","10377","2016-09-04 20:50:00",9.84615384615385,1230031000
"10585","NA210","2016-09-04 21:00:00",0,1230031000
"10586","41363","2016-09-04 21:10:00",13.3125,1230031000
"10587","109055","2016-09-04 21:20:00",26.5555555555556,1230031000
"10588","86735","2016-09-04 21:30:00",15.5454545454545,1230031000
"10589","16796","2016-09-04 21:40:00",8.33333333333333,1230031000
"10590","115169","2016-09-04 21:50:00",17.9090909090909,1230031000
